batchsize,matsize,kernelsize,channels_in,channels_out,strides,padding,activation_fct,use_bias,time_max,time_min,time_median,time_mean,time_trim_mean
17,43,7,197,162,4,0,0,1,41.52393341064453,41.14508628845215,41.297793388366706,41.31414890289306,41.30905866622925
32,449,3,20,2,3,1,1,0,69.24366950988771,67.2452449798584,68.06623935699463,68.0833101272583,68.0430233478546
50,263,3,20,15,4,1,1,0,28.197288513183594,25.50816535949707,26.43477916717529,26.69689655303955,26.657938957214355
8,125,5,23,63,3,1,0,1,10.198593139648438,9.289264678955078,9.56428050994873,9.659433364868164,9.638309478759766
31,78,1,121,102,1,1,1,1,50.24504661560058,49.49712753295898,49.886345863342285,49.89609718322754,49.90234971046448
43,368,4,26,7,4,0,1,0,60.33682823181152,58.09473991394043,59.26978588104248,59.19370651245117,59.18818712234497
27,382,2,18,2,2,1,1,1,52.28972434997559,50.54450035095215,51.57089233398438,51.5092134475708,51.53223872184754
35,399,1,16,2,3,0,0,1,21.712064743041992,20.40243148803711,20.766496658325195,20.87883949279785,20.834237337112427
63,393,2,1,18,4,0,0,1,36.377668380737305,35.80617904663086,36.25917434692383,36.18719577789306,36.21101379394531
30,258,6,27,14,1,1,0,0,830.521821975708,825.0539302825928,825.6775140762329,826.5474557876587,826.2373507022858
41,342,2,27,22,4,1,1,0,39.07918930053711,34.988880157470696,35.368800163269036,36.736035346984856,36.6615355014801
57,399,7,15,4,4,1,0,1,182.16705322265625,178.0991554260254,180.27305603027344,179.9858808517456,179.9490749835968
58,307,6,5,16,2,1,0,0,189.49460983276367,188.9190673828125,189.3225908279419,189.29271697998047,189.31418657302856
56,231,2,37,38,2,0,0,0,126.73234939575195,126.34396553039551,126.63590908050536,126.60384178161621,126.62026286125185
63,500,3,10,14,4,1,0,1,90.51823616027832,88.88936042785645,89.00570869445801,89.16504383087158,89.03035521507263
59,302,1,6,29,4,1,0,1,26.38530731201172,25.96139907836914,26.15666389465332,26.155614852905273,26.151180267333984
23,6,2,645,251,1,1,1,1,8.978843688964844,8.388996124267576,8.501768112182617,8.533883094787598,8.496373891830443
28,402,5,7,19,1,1,1,1,762.9842758178711,761.282205581665,761.9355916976929,762.0435953140259,762.0211839675902
44,411,7,3,1,1,1,1,0,886.6724967956543,879.521369934082,883.4812641143799,883.0473184585571,883.0349147319794
59,219,3,4,24,4,0,1,1,16.419172286987305,13.82899284362793,15.012264251708984,15.04063606262207,15.019774436950685
25,235,6,17,4,3,1,0,0,38.57922554016113,37.77432441711426,37.9554033279419,38.033390045166016,37.997543811798096
2,305,7,26,29,2,1,0,1,37.63103485107422,36.347389221191406,37.156105041503906,37.06216812133789,37.08040714263915
22,49,2,171,184,3,1,1,1,13.431787490844727,12.726783752441404,13.20791244506836,13.143277168273926,13.15927505493164
24,164,4,44,23,3,0,0,1,31.963586807250977,30.23791313171387,31.648993492126465,31.358051300048828,31.42237663269043
18,377,2,17,21,1,1,1,0,269.12188529968256,267.85993576049805,268.5920000076294,268.5706615447998,268.5905992984772
56,57,4,100,5,1,1,1,1,87.61072158813477,86.0133171081543,86.83669567108154,86.75885200500488,86.74556016921997
55,415,3,15,4,2,0,1,0,231.64772987365725,229.8412322998047,230.54170608520508,230.60686588287356,230.57246208190918
19,48,3,205,45,3,1,1,0,9.800434112548828,9.128808975219727,9.26220417022705,9.335470199584961,9.303182363510134
5,1,1,4636,360,1,0,0,1,0.9746551513671876,0.7653236389160156,0.8378028869628906,0.8502483367919922,0.8453130722045898
5,226,1,16,15,3,1,1,0,1.9392967224121092,1.4829635620117188,1.7142295837402344,1.7445564270019531,1.7529129981994631
20,309,7,3,23,1,1,1,0,336.78030967712397,334.89704132080084,336.1302614212036,336.0211372375488,336.06675267219543
53,294,5,10,31,3,1,0,1,107.43117332458496,106.98676109313965,107.21004009246826,107.22107887268066,107.22410678863524
61,43,3,29,103,4,1,0,0,4.377126693725587,3.7081241607666016,3.79800796508789,3.9034128189086914,3.8686096668243413
27,101,2,72,38,2,1,0,0,18.51511001586914,16.341686248779293,16.617298126220707,16.993331909179688,16.884565353393555
44,378,3,9,5,2,1,0,1,111.30523681640624,106.45794868469238,109.1771125793457,108.95316600799559,108.97105932235719
32,348,7,6,4,1,1,0,0,607.4924468994142,603.3608913421632,604.9374341964723,604.9038410186768,604.7731339931487
4,470,7,14,7,1,0,1,1,248.401403427124,243.62802505493164,246.5963363647461,246.15392684936523,246.18873000144958
58,382,3,21,23,3,1,1,0,163.36727142333984,162.75858879089355,162.99176216125488,162.97442913055417,162.95230388641355
58,265,6,22,21,2,0,0,1,444.0748691558838,439.6729469299317,442.66784191131586,442.36235618591314,442.4844682216644
46,100,7,47,77,4,1,0,0,86.33971214294434,84.76519584655763,85.34848690032959,85.38715839385986,85.34583449363707
35,467,1,14,19,4,1,1,1,34.39497947692871,34.122705459594734,34.29639339447021,34.276795387268066,34.281283617019646
48,30,4,193,291,3,1,1,0,62.41798400878906,60.80698966979981,61.33878231048584,61.449646949768066,61.408936977386475
21,225,6,18,43,2,0,0,1,150.44808387756348,147.49670028686526,149.314284324646,149.1830825805664,149.2357552051544
19,65,1,45,14,2,1,1,1,2.126932144165039,1.5642642974853516,1.8626451492309568,1.855611801147461,1.8581151962280276
64,313,2,30,10,3,1,0,1,58.69770050048828,52.72889137268066,57.26325511932373,56.51211738586426,56.71182274818421
47,218,4,42,28,3,1,0,1,118.46160888671876,113.44361305236816,115.94700813293457,116.11697673797607,116.15806818008423
32,244,5,12,3,4,1,1,1,17.894506454467773,16.918420791625973,17.004966735839847,17.12486743927002,17.054468393325806
23,268,2,31,20,3,1,0,1,23.065805435180664,20.682334899902344,22.829294204711914,22.442936897277832,22.585153579711914
44,151,5,40,29,2,1,1,1,159.5754623413086,154.33716773986816,156.88431262969968,156.92987442016604,156.9232642650604
60,152,4,43,26,2,0,1,0,157.8259468078613,154.93035316467285,155.8748483657837,156.24735355377197,156.2146544456482
18,197,1,27,35,3,0,1,0,8.821487426757812,8.257150650024414,8.506298065185549,8.539867401123049,8.54000449180603
52,180,1,27,53,3,0,0,1,21.47459983825684,20.97487449645996,21.23117446899414,21.21751308441162,21.215707063674927
47,436,2,6,7,3,0,0,1,47.73974418640137,43.66803169250488,47.19257354736328,46.329569816589355,46.485990285873406
13,249,7,23,16,3,1,1,0,44.59452629089356,43.183326721191406,43.57707500457764,43.80042552947998,43.778300285339355
46,201,2,46,33,2,0,1,0,113.9206886291504,90.43455123901369,92.14580059051514,98.8502025604248,98.0183482170105
16,7,4,222,941,2,0,0,1,4.99415397644043,4.264354705810547,4.592418670654297,4.623222351074219,4.621714353561401
26,353,3,13,22,2,1,1,1,105.27920722961426,104.7649383544922,105.16703128814696,105.10308742523192,105.1233410835266
11,473,4,6,1,3,1,1,0,17.81487464904785,17.273902893066403,17.595291137695312,17.558693885803226,17.562270164489743
29,13,3,127,345,4,0,1,1,2.346038818359375,1.961469650268555,2.1412372589111333,2.1415948867797847,2.13855504989624
26,342,5,18,7,2,1,1,1,149.41644668579104,145.50113677978516,146.5326547622681,146.98512554168698,146.86670899391174
53,447,7,10,18,4,0,0,0,211.421012878418,209.57183837890625,210.59417724609372,210.5923891067505,210.61637997627255
57,326,7,2,14,4,0,0,0,43.25938224792481,40.329933166503906,40.58694839477539,41.333508491516106,41.218221187591546
33,47,5,209,116,4,1,0,1,47.64366149902344,46.94962501525879,47.25635051727295,47.28431701660156,47.28123545646668
23,164,5,42,6,4,0,0,0,19.35577392578125,16.132116317749027,18.147945404052734,17.954158782958984,18.006712198257446
62,123,3,61,30,2,0,1,0,93.47295761108398,88.61184120178223,89.56921100616455,90.3244972229004,90.14502167701721
49,110,4,44,25,4,1,0,1,21.42024040222168,20.12181282043457,20.62547206878662,20.655393600463867,20.626485347747806
48,280,2,20,29,4,0,0,0,23.156404495239254,17.836332321166992,18.793225288391113,19.17269229888916,18.841773271560672
21,226,3,27,13,1,1,1,1,140.32387733459473,139.9693489074707,140.11478424072266,140.12763500213623,140.12289047241208
24,55,5,151,65,1,0,0,0,264.4762992858887,261.14606857299805,263.0825042724609,262.87376880645746,262.889415025711
4,401,4,6,16,1,1,0,1,49.82519149780274,49.20339584350586,49.370408058166504,49.427103996276855,49.4053065776825
27,92,2,49,92,2,1,1,1,21.55470848083496,18.5236930847168,20.06387710571289,20.054173469543453,20.05791664123535
57,191,4,30,41,3,1,0,1,101.83238983154295,100.79574584960938,101.21726989746094,101.27263069152832,101.26227140426636
23,27,5,310,21,3,1,0,1,13.290882110595705,9.783506393432617,9.92894172668457,10.26132106781006,9.942352771759033
11,482,6,6,4,2,1,1,1,72.40438461303711,70.9969997406006,71.82109355926514,71.78997993469237,71.81230187416077
8,266,6,12,20,3,0,1,0,17.468690872192386,16.04628562927246,16.263842582702633,16.502928733825687,16.439288854599
4,47,3,69,36,3,0,1,0,1.015424728393555,0.8358955383300781,0.941753387451172,0.9221553802490234,0.9212791919708252
9,305,7,20,7,3,0,1,1,34.620046615600586,33.603668212890625,34.101247787475586,34.098124504089355,34.094691276550286
49,50,5,141,52,2,0,1,0,92.96369552612305,91.0799503326416,91.80700778961182,91.973614692688,91.9615626335144
30,67,4,121,141,4,0,1,1,34.23285484313965,33.324718475341804,33.82277488708496,33.806490898132324,33.813416957855225
22,487,2,17,14,4,0,0,0,26.816368103027344,23.82850646972656,24.382591247558594,25.11911392211914,25.06828308105469
58,384,6,7,23,2,1,0,0,425.07052421569824,422.2486019134522,423.978328704834,423.8892793655396,423.94670844078064
23,434,2,20,15,1,0,0,0,262.12120056152344,261.80028915405273,261.9919776916504,261.9678258895874,261.96959614753723
17,153,6,37,46,1,1,0,0,448.5278129577637,447.2997188568115,447.8296041488648,447.86856174468994,447.8572607040405
40,215,7,4,44,4,1,1,0,32.2723388671875,28.61666679382324,30.63082695007324,30.55524826049805,30.582934617996216
37,94,4,30,45,3,0,0,1,16.155242919921875,14.98866081237793,15.93315601348877,15.822672843933105,15.885353088378904
12,136,1,48,59,2,0,0,1,7.226943969726562,5.298852920532227,6.954669952392577,6.527519226074219,6.593674421310425
44,194,3,9,43,1,1,0,0,224.38645362854004,223.7002849578857,224.01928901672363,224.0955114364624,224.1085469722748
35,201,2,33,21,4,1,0,0,12.246131896972654,10.764360427856444,11.237382888793944,11.491775512695312,11.488407850265505
60,188,4,46,48,3,0,1,0,146.46100997924802,144.75464820861816,145.83110809326172,145.7409381866455,145.77421545982358
26,497,4,15,10,2,0,1,0,199.7382640838623,198.06599617004397,198.6631155014038,198.75879287719727,198.7229585647583
21,494,4,4,15,3,1,1,1,42.14358329772949,41.88251495361328,42.054176330566406,42.02752113342285,42.03113913536072
40,14,1,465,290,4,1,1,0,2.057790756225586,1.6968250274658203,1.9029378890991209,1.8870830535888672,1.8895268440246584
22,104,1,71,41,3,0,1,1,4.611015319824219,3.5684108734130864,4.163146018981934,3.9994716644287114,3.9769113063812256
23,461,6,9,3,1,0,0,1,824.2394924163817,819.7512626647949,821.3189840316772,821.4322090148926,821.2914168834686
53,274,4,33,34,4,1,0,1,116.35994911193848,115.18573760986328,115.31257629394531,115.51604270935059,115.451842546463
29,358,6,8,14,1,1,0,0,475.2161502838135,473.40989112854,474.0097522735596,474.22754764556885,474.20617938041687
13,18,2,516,197,4,0,1,1,4.203319549560547,2.5069713592529297,2.617955207824707,2.7666091918945312,2.6194751262664795
47,262,4,10,10,3,0,0,0,31.90803527832031,29.15334701538086,29.64150905609131,30.04744052886963,29.92662787437439
44,106,4,61,3,4,0,1,1,14.977693557739258,14.399528503417967,14.54174518585205,14.612936973571776,14.594018459320068
58,333,6,3,23,2,1,1,0,252.10976600646973,250.26297569274902,250.83255767822263,250.95691680908203,250.8995532989502
37,29,2,213,106,3,0,1,1,6.348848342895508,6.0210227966308585,6.247878074645996,6.217408180236816,6.225526332855225
54,424,1,3,16,3,1,0,1,56.10227584838867,55.49836158752442,55.84561824798584,55.838990211486816,55.848658084869385
64,275,4,11,18,1,1,1,1,663.9297008514403,658.7486267089844,660.4043245315553,660.4869842529298,660.273939371109
62,429,1,15,1,4,0,0,1,42.10209846496582,41.11170768737793,41.45240783691406,41.49637222290039,41.46873950958253
1,199,2,32,31,4,1,1,0,0.8418560028076172,0.6079673767089844,0.6545782089233398,0.6758689880371094,0.6636083126068115
39,38,4,88,27,1,1,1,0,47.40166664123535,46.31543159484863,46.59116268157959,46.64456844329834,46.59107327461243
52,482,5,11,11,3,1,0,1,206.9394588470459,205.8968544006348,206.4340114593506,206.4807415008545,206.49638772010803
55,31,1,85,241,1,0,1,0,33.023595809936516,32.34124183654785,32.66584873199463,32.66656398773193,32.66260027885437
39,266,3,17,14,2,0,1,0,74.1150379180908,73.19974899291992,73.66108894348146,73.62537384033203,73.61736893653871
4,452,6,14,14,4,1,1,1,13.643503189086914,12.578725814819336,12.750387191772461,12.933611869812012,12.889236211776733
4,452,2,2,1,1,1,1,0,33.880233764648445,29.33812141418457,29.81293201446533,30.11829853057861,29.74557876586914
50,52,5,23,26,4,1,0,1,5.445241928100586,3.8959980010986333,4.0946006774902335,4.24802303314209,4.14237380027771
6,201,6,3,43,1,1,0,0,45.81165313720703,45.43757438659668,45.574069023132324,45.58119773864746,45.57034373283386
22,258,6,34,3,4,1,0,0,43.53475570678711,42.601823806762695,43.03431510925293,43.10016632080078,43.10813546180725
18,28,3,107,355,2,0,0,1,16.071557998657227,15.32125473022461,15.445709228515625,15.54269790649414,15.504270792007446
9,446,3,10,2,4,0,0,1,9.54747200012207,8.513927459716799,8.697748184204103,8.78288745880127,8.720934391021729
42,213,7,25,38,1,1,0,1,1825.796365737915,1815.7634735107424,1819.468855857849,1819.803595542908,1819.5595145225525
3,141,4,8,47,2,1,1,1,3.017902374267578,2.3679733276367188,2.8507709503173833,2.788400650024414,2.8122663497924805
2,196,6,36,12,4,0,1,0,6.5495967864990225,6.345987319946289,6.4258575439453125,6.435608863830566,6.432563066482544
22,206,2,3,31,2,1,1,1,19.516468048095703,15.094757080078125,18.83721351623535,18.164587020874023,18.3793306350708
1,461,6,17,19,2,0,1,0,20.097732543945312,19.299030303955078,19.52242851257324,19.62578296661377,19.607633352279663
29,449,5,2,18,4,1,1,0,40.3444766998291,36.44609451293945,36.75150871276856,37.726950645446784,37.559866905212395
4,455,2,17,12,3,1,1,1,8.368492126464844,7.2040557861328125,8.085846900939941,8.006381988525389,8.061408996582031
9,203,1,16,27,4,1,0,0,2.004623413085937,1.421213150024414,1.7216205596923828,1.7186641693115234,1.7201006412506104
45,380,3,18,16,1,0,1,0,728.71994972229,723.8717079162598,724.4580984115601,724.834942817688,724.4697213172913
50,244,6,5,37,2,1,0,0,163.29908370971683,162.5516414642334,162.84346580505368,162.88774013519287,162.87833452224731
33,431,6,4,4,1,0,1,1,490.52023887634283,486.0827922821045,487.6967668533325,488.05463314056396,487.9929125308991
16,283,2,18,33,3,0,1,0,17.5323486328125,14.793157577514648,15.057086944580078,15.511107444763185,15.348196029663086
17,417,6,5,13,1,1,1,1,415.0862693786621,414.31283950805664,414.50977325439453,414.5765781402588,414.5458340644837
34,226,6,18,33,4,1,0,1,60.77122688293457,58.15863609313965,60.48989295959473,59.67133045196533,59.72293019294739
22,104,1,46,69,1,1,1,1,27.071475982666016,26.867389678955078,26.94535255432129,26.953125,26.949048042297363
46,325,4,24,4,3,1,1,0,89.90764617919922,79.88715171813966,81.39586448669435,83.36205482482909,82.97821879386902
60,135,1,33,7,4,0,0,1,5.132436752319336,4.408597946166992,4.685521125793457,4.7400474548339835,4.7324299812316895
19,459,4,17,2,2,0,1,0,109.48348045349121,106.31489753723145,108.2906723022461,108.27553272247314,108.3696186542511
23,129,3,42,17,1,0,1,0,95.53956985473631,91.16578102111816,91.5604829788208,92.24004745483398,91.96189045906068
47,201,5,27,24,2,1,0,0,199.22566413879397,197.6630687713623,198.38452339172363,198.48260879516602,198.492169380188
18,118,5,4,37,4,0,1,1,2.948284149169922,2.475261688232422,2.804398536682129,2.76334285736084,2.776235342025757
62,259,7,23,9,3,1,1,1,228.59859466552732,224.69043731689453,225.47972202301025,226.26693248748782,226.172536611557
24,318,7,12,20,1,1,0,0,890.1922702789308,885.000467300415,886.4419460296631,886.8773937225342,886.6976499557495
2,322,3,30,28,1,1,0,1,44.10910606384277,40.58527946472168,42.19114780426026,42.26493835449219,42.24437475204468
15,389,4,21,9,1,1,1,1,377.1240711212158,375.01192092895513,376.0370016098023,376.12979412078863,376.14524364471436
24,448,5,14,20,2,0,0,1,318.0210590362549,315.5291080474853,316.84672832489014,316.7777299880981,316.7783915996552
20,18,7,179,462,3,0,0,1,19.257545471191406,18.54538917541504,18.952012062072754,18.89216899871826,18.889844417572018
17,210,2,9,26,3,0,0,1,9.358882904052734,6.6094398498535165,8.013129234313965,7.9293251037597665,7.915616035461426
22,255,1,27,27,4,0,1,0,8.708477020263674,6.798505783081055,8.211731910705566,7.831192016601562,7.850617170333862
54,231,7,34,11,1,0,1,1,1792.1864986419678,1779.1337966918945,1785.5530977249146,1785.332441329956,1785.2505147457125
57,327,4,6,8,1,1,0,0,382.58576393127436,381.0975551605225,381.72173500061035,381.7596435546875,381.7391395568848
21,257,5,17,21,4,1,0,0,26.713848114013672,24.951696395874023,25.683045387268066,25.737452507019047,25.713622570037842
25,452,6,12,21,3,0,0,0,149.21712875366208,147.7222442626953,147.92275428771973,148.09310436248782,147.99895882606506
46,137,7,1,27,1,0,0,0,94.36368942260742,89.75052833557129,90.5996561050415,90.87576866149902,90.58043360710144
56,96,4,9,36,4,1,1,1,6.163835525512695,5.230188369750977,5.954146385192871,5.894351005554199,5.94368577003479
34,60,1,38,60,1,0,1,1,10.376691818237305,6.4787864685058585,8.622646331787111,8.532118797302246,8.558213710784912
42,258,1,14,5,1,0,0,0,24.53255653381348,23.517370223999023,23.970484733581547,24.044322967529297,24.04916286468506
21,415,4,3,14,4,1,0,1,18.199682235717773,16.04151725769043,17.049670219421387,17.152786254882812,17.16083288192749
63,439,3,1,1,4,1,1,0,40.49277305603027,39.02316093444824,39.24477100372315,39.41426277160645,39.32833671569824
20,201,1,13,12,2,0,1,0,13.050079345703125,11.458158493041992,11.863470077514648,12.144660949707033,12.11729645729065
3,132,7,19,52,1,0,0,0,43.90072822570801,41.70918464660645,42.71399974822997,42.714881896972656,42.69236326217651
57,173,4,22,37,4,1,0,1,35.76517105102539,33.035993576049805,34.534692764282234,34.409284591674805,34.411460161209106
58,31,2,190,18,3,0,0,1,4.266977310180663,3.6363601684570312,3.8712024688720703,3.8975238800048833,3.883987665176392
23,143,3,48,67,4,1,0,0,18.145322799682614,16.925811767578125,17.493247985839847,17.51394271850586,17.50853657722473
17,143,5,14,20,3,0,1,1,10.681629180908203,10.01739501953125,10.275840759277344,10.317015647888184,10.308891534805296
43,176,4,9,16,1,0,0,1,129.0888786315918,128.7689208984375,129.01175022125244,128.9961576461792,129.01297211647034
14,305,7,25,9,4,1,1,0,43.670654296875,42.28925704956055,42.794346809387214,42.82636642456055,42.78796911239624
30,116,1,59,75,4,0,1,1,5.360603332519531,3.9455890655517583,5.046963691711426,4.827713966369629,4.871368408203125
46,295,3,19,23,3,1,1,0,72.31259346008302,71.38800621032716,71.53046131134033,71.63448333740234,71.58052921295166
45,511,2,10,12,2,0,1,1,168.18714141845703,167.5524711608887,167.8576469421387,167.86084175109863,167.8586006164551
49,471,2,15,11,1,0,0,1,821.4049339294434,819.542407989502,820.256233215332,820.3085422515869,820.2672600746155
18,127,3,17,49,1,1,1,1,62.82734870910645,62.430381774902344,62.615275382995605,62.60747909545898,62.60213255882263
38,295,1,23,17,3,1,0,1,28.247594833374023,24.11651611328125,24.4063138961792,25.634026527404785,25.497019290924072
50,216,6,35,44,3,0,1,0,281.62384033203125,280.7450294494629,281.10706806182856,281.1305046081543,281.1170220375061
43,326,3,10,7,4,0,1,0,23.25558662414551,21.77572250366211,22.145867347717285,22.426319122314453,22.403985261917114
7,205,3,1,28,1,0,0,1,21.256208419799805,16.750335693359375,19.061684608459476,18.983888626098636,18.979042768478394
6,276,4,33,22,2,1,1,1,36.55505180358887,33.807992935180664,35.67862510681152,35.19411087036133,35.19725799560547
7,418,7,17,13,2,0,1,0,110.96405982971191,107.67602920532228,108.34002494812012,108.78901481628418,108.65625739097595
34,13,3,293,471,1,1,0,0,97.30982780456543,95.93534469604492,96.13370895385742,96.28853797912598,96.20502591133119
49,140,5,46,44,4,1,1,1,65.77515602111815,63.53068351745606,64.52631950378418,64.52658176422119,64.49499726295471
54,493,3,13,7,2,1,1,1,310.55808067321783,306.5948486328125,307.0279359817505,307.46979713439936,307.1931302547455
25,267,5,2,26,3,0,1,1,22.32527732849121,18.53179931640625,21.312355995178226,20.74921131134033,20.829379558563236
12,311,6,18,15,4,1,1,0,22.58086204528809,21.448612213134766,21.985411643981934,21.997594833374023,21.993309259414676
7,379,5,21,21,4,0,1,1,22.497892379760746,21.406888961791992,22.293448448181152,22.117328643798828,22.158563137054443
41,330,7,19,2,2,1,0,0,381.70528411865234,369.43268775939936,373.088002204895,373.8807439804077,373.4586834907532
58,332,7,24,21,3,0,0,0,437.0007514953613,426.6839027404785,428.82251739501953,430.48675060272217,430.14785647392273
35,159,5,40,30,3,0,1,1,63.46607208251953,61.05232238769531,62.676310539245605,62.41888999938965,62.45881319046021
6,28,5,217,224,2,1,1,1,22.045612335205078,20.929574966430664,21.52550220489502,21.53048515319824,21.54120802879333
31,176,6,10,41,3,1,0,1,40.34090042114258,37.47439384460449,38.94519805908203,38.88473510742188,38.87900710105896
47,38,7,245,152,3,1,0,0,214.75505828857425,213.6232852935791,214.55717086791992,214.33424949646,214.37051892280581
21,213,5,7,43,3,0,0,0,23.7579345703125,21.01898193359375,21.375060081481934,21.768641471862797,21.61368727684021
32,67,5,122,23,1,1,0,0,234.6866130828857,230.3147315979004,233.0904006958008,232.85229206085202,232.9401969909668
57,295,5,9,30,2,0,0,0,230.4058074951172,229.43854331970212,230.0090789794922,229.99451160430908,230.01259565353396
21,238,1,26,4,3,1,1,0,9.081363677978516,6.9086551666259775,7.2367191314697275,7.530784606933594,7.4147284030914316
17,479,5,18,6,2,1,1,0,187.7138614654541,182.91378021240237,185.599684715271,185.297966003418,185.2940022945404
24,303,5,30,14,4,1,0,1,53.36475372314453,50.27318000793457,52.219271659851074,52.00793743133545,52.055180072784424
20,354,3,4,9,4,1,0,1,12.348413467407227,11.18326187133789,11.971235275268555,11.810564994812012,11.821746826171875
16,320,7,16,30,4,1,1,1,53.84397506713867,50.44698715209961,52.33466625213623,52.060818672180176,52.039653062820435
11,11,5,794,833,1,0,0,1,127.67529487609863,126.20425224304199,127.0960569381714,127.03626155853271,127.06038355827332
1,178,6,34,43,4,1,1,1,2.74038314819336,2.3624897003173833,2.595067024230957,2.588081359863281,2.5972425937652592
12,480,7,13,12,2,1,1,1,204.2944431304932,198.9884376525879,203.40561866760254,202.3609161376953,202.540785074234
51,41,6,25,99,2,1,0,1,34.013748168945305,32.5467586517334,33.915042877197266,33.646821975708015,33.73846411705017
8,167,6,18,30,3,0,0,1,10.977029800415039,10.148048400878906,10.735273361206056,10.619449615478516,10.6336772441864
3,398,3,16,22,1,1,0,1,52.50787734985352,51.97381973266602,52.269577980041504,52.26206779479981,52.26737260818482
34,183,2,48,22,4,1,1,0,13.389348983764648,10.808944702148438,11.545181274414062,11.809921264648438,11.737614870071411
