batchsize,dim_input,dim_output,activation_fct,time_max,time_min,time_median,time_mean,time_trim_mean
42,2714,378,0,1.4951229095458984,1.163959503173828,1.4084577560424805,1.3563871383666992,1.3630986213684082
42,4052,3948,1,13.553857803344727,13.007402420043945,13.398170471191404,13.36970329284668,13.391971588134766
25,1406,332,0,0.7472038269042969,0.4947185516357422,0.5773305892944336,0.6099224090576172,0.6071627140045166
57,306,2065,1,1.5745162963867188,1.2357234954833984,1.363515853881836,1.3708114624023438,1.362234354019165
50,440,3765,0,2.268075942993164,2.005577087402344,2.15911865234375,2.1555423736572266,2.1602213382720947
1,503,2026,1,0.48065185546875,0.3418922424316406,0.4241466522216797,0.4277944564819336,0.43192505836486816
37,2727,1390,1,5.606651306152344,4.935264587402344,5.11014461517334,5.157756805419922,5.129456520080566
61,3416,996,1,5.195379257202148,5.01561164855957,5.1422119140625,5.12697696685791,5.132347345352173
50,3392,2822,0,15.494823455810547,14.0380859375,14.45615291595459,14.546728134155273,14.491796493530273
34,1955,609,1,1.6045570373535156,1.4798641204833984,1.5053749084472656,1.5245437622070312,1.5201270580291748
10,2485,823,1,1.2094974517822266,1.045942306518555,1.1560916900634766,1.140141487121582,1.14324688911438
30,3928,2822,0,14.563798904418945,13.834238052368164,14.075636863708494,14.10081386566162,14.076262712478638
41,1240,2905,1,5.795478820800781,4.997968673706055,5.294561386108398,5.301332473754883,5.277484655380249
28,3439,844,1,3.3938884735107417,2.9008388519287114,3.1316280364990234,3.1568527221679688,3.1592249870300293
32,3831,344,0,1.544952392578125,1.207590103149414,1.3566017150878906,1.351618766784668,1.3454556465148926
40,2437,642,0,2.0930767059326167,1.7621517181396484,1.964569091796875,1.9226312637329104,1.9213855266571045
41,2667,755,1,2.687215805053711,2.269744873046875,2.47347354888916,2.480435371398926,2.480924129486084
2,243,4003,1,0.6971359252929688,0.5669593811035156,0.6170272827148438,0.6239175796508789,0.6218850612640381
1,3337,1228,0,1.451730728149414,1.3799667358398438,1.435041427612305,1.4313697814941406,1.4352500438690186
1,924,1707,0,0.6496906280517578,0.6091594696044922,0.6244182586669922,0.6252288818359375,0.6241798400878906
6,1280,1300,1,1.2907981872558594,0.9288787841796876,0.9578466415405272,1.0468244552612305,1.0310709476470947
10,1799,1370,1,1.4524459838867188,1.2753009796142578,1.3946294784545898,1.3824462890625,1.387089490890503
52,3750,2106,1,12.4664306640625,11.674880981445312,12.017369270324707,12.020444869995115,12.00789213180542
38,2238,1385,1,4.593849182128906,4.119396209716797,4.3778419494628915,4.368138313293457,4.3710172176361075
60,3841,373,1,2.1555423736572266,1.900434494018555,2.0627975463867188,2.0467758178710938,2.0514726638793945
64,3108,44,1,0.5145072937011719,0.3454685211181641,0.424504280090332,0.4218339920043945,0.41979551315307617
52,1569,3825,1,6.670951843261719,6.177186965942383,6.399750709533691,6.403732299804688,6.398648023605348
3,2043,966,1,1.274824142456055,0.959157943725586,1.0404586791992188,1.0915040969848633,1.085132360458374
52,1149,1484,0,3.1006336212158203,2.767324447631836,2.8522014617919917,2.869248390197754,2.853065729141236
44,1740,4002,0,6.7048072814941415,6.26683235168457,6.564021110534668,6.519675254821777,6.528139114379883
45,1068,2657,0,4.5647621154785165,4.077434539794922,4.394412040710448,4.370570182800293,4.3829381465911865
50,547,1879,1,2.0911693572998047,1.756429672241211,1.8661022186279297,1.886558532714844,1.877248287200928
13,3949,2002,1,4.488229751586914,3.8034915924072266,3.8584470748901367,3.920769691467285,3.864496946334839
15,677,2639,1,1.3532638549804688,1.153707504272461,1.2664794921875,1.2519598007202148,1.2515783309936523
6,3259,899,0,1.837015151977539,1.2865066528320312,1.3790130615234375,1.4150142669677734,1.3783276081085205
3,863,2776,1,1.3575553894042969,1.0547637939453125,1.170039176940918,1.163005828857422,1.1522173881530762
54,2905,50,0,0.6344318389892578,0.3888607025146485,0.4260540008544922,0.463414192199707,0.4513561725616455
22,450,3286,1,1.373291015625,1.1501312255859375,1.2410879135131836,1.2536287307739258,1.25160813331604
38,2425,2849,0,9.91201400756836,9.412527084350586,9.69386100769043,9.689593315124512,9.696424007415773
57,1081,2376,0,4.593610763549805,4.068613052368163,4.3300390243530265,4.332852363586427,4.333287477493286
59,82,4026,0,1.1448860168457031,0.8323192596435547,0.8977651596069336,0.9144306182861328,0.8958876132965088
20,1755,2151,0,2.5584697723388667,2.282857894897461,2.469182014465332,2.4485349655151367,2.45550274848938
63,3336,1776,0,9.911775588989258,9.277582168579102,9.479284286499023,9.53381061553955,9.518593549728395
27,143,3972,1,1.2769699096679688,0.8270740509033203,1.032114028930664,1.0388612747192385,1.0355710983276367
